execution_number,client_id,status_response,body_response,elapsed_time,current_date
45,84809e83-6d6a-4db8-954a-01dab630516b,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",70.42883539199829,06_06_2022
86,bbe569c4-9a37-45a1-8fee-b715043f6b14,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",71.81441020965576,06_06_2022
29,49155c70-b2d0-425e-92c7-c9bbe664a34f,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",73.81644916534424,06_06_2022
59,8179aabc-42f7-4210-8bed-32f77ce28597,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",73.9241681098938,06_06_2022
11,ca85fd82-4e21-43f5-a03a-3cf0a49bb249,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",74.11269164085388,06_06_2022
98,0046294f-4d42-4bf4-85d6-d53eaff8ad18,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",74.01310515403748,06_06_2022
41,97e574ae-802c-46ec-ab44-d669c8ee3d9d,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",74.6546471118927,06_06_2022
14,538ad676-271d-4547-bbf3-c53b13804b4e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",74.84780406951904,06_06_2022
70,e6c657be-550d-4858-95a8-e2a02d434665,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",74.92233848571777,06_06_2022
33,e3822a91-be8d-4761-814d-6590c13a946c,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",75.02242279052734,06_06_2022
159,0611f92c-926c-4fd7-b843-3ca7bea04df6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",74.88431978225708,06_06_2022
27,841fe66e-8963-4f19-a559-e5b5c6690716,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",75.1710033416748,06_06_2022
