execution_number,client_id,status_response,body_response,elapsed_time,current_date
632,cc2e2617-3cc7-49ae-b29f-ed029783f9ce,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.63868737220764,06_06_2022
925,6187d354-1879-431c-83ec-9a57459829e3,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.32541012763977,06_06_2022
219,c013657b-e661-49cb-9473-1a7fe2a7d903,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.194463968276978,06_06_2022
913,e2e82a26-6a94-4205-8295-c9cc024c6c5e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.353089809417725,06_06_2022
441,2a14ff68-c423-4136-8a9e-57ca95ed0233,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.967398405075073,06_06_2022
604,ad562322-ab90-4931-8d49-760e259dfb67,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.70604157447815,06_06_2022
520,f150765f-9d35-416d-ac62-ef087f8a4c22,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.86390471458435,06_06_2022
884,67e6000f-c8f8-4d60-9361-c52e6cfc8695,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.393409729003906,06_06_2022
463,b3989725-cf38-4f66-a728-369e8eadba5c,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.972960948944092,06_06_2022
258,488db70d-471e-464a-be04-39dd5ce0c0d7,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.217742204666138,06_06_2022
792,352db710-8817-4ef3-be6e-2404a28af1fa,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.521433353424072,06_06_2022
682,1b769a64-9dc7-4675-ae16-59593bca7441,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.66672945022583,06_06_2022
437,dfc7b366-2fd2-442d-be32-d9bdb5f23560,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.066245794296265,06_06_2022
217,34ae6bdd-356e-4eba-9280-f8d127e31774,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.291386365890503,06_06_2022
707,b34cca95-7bda-42c6-aa75-4d23494f7fc6,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",16.738674640655518,06_06_2022
294,12b9fafb-bd83-44e9-9a8b-af9d95238d2e,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.29486393928528,06_06_2022
524,5525da69-aa93-4d92-8370-88af11ab8558,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.029883861541748,06_06_2022
174,fad98f86-e244-469e-824e-a8fe76653102,200,"{'rois': [[1437, 194, 1602, 604]], 'class_ids': [1], 'scores': [0.993463397026062]}",17.414329290390015,06_06_2022
