execution_number,client_id,status_response,body_response,elapsed_time,current_date
124,861b3ded-a010-40d2-9067-5afcb3544fb1,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.103765964508057,05_28_2022
169,19cb44e1-0de1-4933-b9e1-6ec0f3177b6b,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.64779782295227,05_28_2022
128,98b3751c-af64-4bf2-8196-46ea32e2e1af,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.76729702949524,05_28_2022
144,91d01917-18d8-4fb8-93ac-88cdc058dd79,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.793623685836792,05_28_2022
104,c005a85c-60e4-4673-943a-a46899b291a7,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.876054048538208,05_28_2022
103,37410e5e-9afa-48db-a543-7b223e8f2ab9,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.880328893661499,05_28_2022
172,a065a117-102a-487a-9ae7-5c126c27cf0b,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.833993196487427,05_28_2022
94,89cb7990-4980-4771-933d-33ce9b05cfed,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",11.995335102081299,05_28_2022
98,0559f69a-4bf9-4d49-b8b2-ffec205cfe67,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.175157308578491,05_28_2022
1,67c5a417-167a-4390-afe1-89fcd8e72ea1,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.491897106170654,05_28_2022
33,2c31c98e-70e1-486e-b13c-f6c16a0388f4,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.545900344848633,05_28_2022
44,a12a154d-028b-4ef5-8e89-2cb01209c93d,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.575580596923828,05_28_2022
18,31ab0c7a-258c-4ca5-ba24-1fac49332f61,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.608561754226685,05_28_2022
23,896c5137-41ea-4569-b45b-226c3cd52641,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.669229507446289,05_28_2022
34,e10a2ca8-4018-422f-84d5-5209107fc1e9,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.68324589729309,05_28_2022
39,cae348ab-72da-4dfe-9dff-51a82ecd651d,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.739825248718262,05_28_2022
32,a1ab7ce4-50b4-4d9c-88b4-2209eb37632e,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.783438920974731,05_28_2022
11,7ac2874a-c1d3-4b1c-8fcc-58e979ef729f,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.873915433883667,05_28_2022
14,672355b9-ca26-443a-ad3a-1c8d84a5ae3f,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.972723722457886,05_28_2022
118,4232e354-e9d0-486f-b84b-7063a9de0c8b,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.928664684295654,05_28_2022
87,56018c02-6de7-4de7-b34e-5dfd5a5b1a7a,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",12.983524084091187,05_28_2022
71,efcb0feb-4066-44f0-9da5-de9af521c31c,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",13.067218780517578,05_28_2022
86,6ff2459f-ebee-44ed-9f1e-36124185961c,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",13.080740451812744,05_28_2022
76,34b0a8f0-51e3-4cf3-8c87-a112612c0306,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",13.090932130813599,05_28_2022
99,107f0cc6-9a45-466f-9461-5f905ae5a742,200,"{""rois"": [[1437, 194, 1602, 604]], ""class_ids"": [1], ""scores"": [0.993463397026062]}",13.08249282836914,05_28_2022
